"CASE","PERSONID","B_MINOR","B_ADULT","B_NATIVE","B_FOREIGN","NHOODBUR","NHOODRES","XRESID","YRESID"
352,132,0,1,1,0,5182665,5180271,79926.1016,458832
387,237,0,1,0,1,5180271,5180271,79926.1016,458832
1054,97,0,1,1,0,5183638,5180271,79926.1016,458832
977,47,0,1,0,1,5182144,5180374,81198.7031,457796.5
291,110,0,1,0,1,5182916,5180374,81198.7031,457796.5
416,76,0,1,1,0,5180907,5180701,78633.2031,457971.75
426,45,0,1,1,0,5180907,5180702,77646.8906,457256.3438
994,45,0,1,1,0,5181309,5180702,77646.8906,457256.3438
460,23,0,1,1,0,5180800,5180702,77646.8906,457256.3438
423,70,0,1,1,0,5180701,5180702,77646.8906,457256.3438
427,45,0,1,1,0,5180907,5180702,77646.8906,457256.3438
384,52,0,1,1,0,5180605,5180702,77646.8906,457256.3438
440,45,0,1,1,0,5180907,5180702,77646.8906,457256.3438
436,12,0,1,1,0,5180907,5180703,78995.75,458551.4375
1015,12,0,1,1,0,5181251,5180703,78995.75,458551.4375
928,69,0,1,1,0,5181309,5180704,79209.1016,457792.3125
720,202,0,1,1,0,5183387,5180704,79209.1016,457792.3125
858,96,0,1,1,0,5183131,5180704,79209.1016,457792.3125
49,285,0,1,1,0,5183284,5180704,79209.1016,457792.3125
1004,48,0,1,1,0,5181309,5180800,77183.8516,456225.8125
434,190,0,1,1,0,5180703,5180800,77183.8516,456225.8125
969,214,0,1,1,0,5181309,5180800,77183.8516,456225.8125
429,190,0,1,1,0,5180702,5180800,77183.8516,456225.8125
669,34,0,1,1,0,5183387,5180800,77183.8516,456225.8125
991,48,0,1,1,0,5181309,5180800,77183.8516,456225.8125
280,44,0,1,1,0,5182916,5180800,77183.8516,456225.8125
433,190,0,1,1,0,5180702,5180800,77183.8516,456225.8125
439,190,0,1,1,0,5180703,5180800,77183.8516,456225.8125
437,190,0,1,1,0,5180907,5180800,77183.8516,456225.8125
1096,48,0,1,1,0,5181309,5180800,77183.8516,456225.8125
350,34,0,1,1,0,5182665,5180800,77183.8516,456225.8125
441,190,0,1,1,0,5180908,5180800,77183.8516,456225.8125
382,48,0,1,1,0,5180271,5180800,77183.8516,456225.8125
430,190,0,1,1,0,5180702,5180800,77183.8516,456225.8125
428,190,0,1,1,0,5180800,5180800,77183.8516,456225.8125
988,48,0,1,1,0,5181309,5180800,77183.8516,456225.8125
723,34,0,1,1,0,5183387,5180800,77183.8516,456225.8125
